País,Continente,Población,Área(KM2 )
Alemania,Europa,82293457,348560
Arabia Saudita,Asia,33554343,2149690
Argentina,América,44688864,2736690
Australia,Oceanía,24772247,7682300
Brazil,América,210867954,8358140
Canadá,América,36953765,9093510
China,Asia,1415045928,9388211
Estados Unidos,América,326766748,9147420
Francia,Europa,65233271,547557
India,Asia,1354051854,2973190
Indonesia,Asia,266794980,1811570
Italia,Europa,59290969,294140
Japón,Asia,127185332,364555
Korea,Asia,51164435,97230
México,América,130759074,1943950
Rusia,Asia,143964709,16376870
Sudáfrica,África,57398421,1213090
